NestID,Fledged,weeksold,max_age,Julian_Date,noNLP,NLP,NLP3
Ballast_F_17,0,3,6,42878,0.00,1.00,1.00
Ballast_F_17,0,3,6,42884,0.15,0.85,0.61
Ballast_F_17,0,4,6,42890,0.10,0.90,0.73
Ballast_F_17,0,5,6,42902,0.15,0.85,0.61
Ballast_F_17,0,6,6,42906,0.00,1.00,1.00
Ballast_F_18,0,1,6,43270,0.00,1.00,1.00
Ballast_F_18,0,1,6,43278,0.00,1.00,1.00
Ballast_F_18,0,2,6,43284,0.06,0.94,0.82
Ballast_F_18,0,3,6,43291,0.00,1.00,1.00
Ballast_F_18,0,4,6,43299,0.00,1.00,1.00
Ballast_F_18,0,5,6,43306,0.00,1.00,1.00
Ballast_F_18,0,6,6,43310,0.00,1.00,1.00
Cluster_F_17,1,5,12,42915,0.00,1.00,1.00
Cluster_F_17,1,6,12,42920,0.00,1.00,1.00
Cluster_F_17,1,7,12,42926,0.00,1.00,1.00
Cluster_F_17,1,8,12,42936,0.00,1.00,1.00
Cluster_F_17,1,9,12,42943,0.10,0.90,0.73
Cluster_F_17,1,10,12,42948,0.13,0.87,0.65
Cluster_F_17,1,11,12,42955,0.00,1.00,1.00
Cluster_F_17,1,12,12,42960,0.00,1.00,1.00
Curved17,1,8,,42864,0.10,0.90,0.73
Curved17,1,9,,42872,0.05,0.95,0.85
Curved17,1,10,,42878,0.15,0.85,0.61
Curved17,1,11,,42885,0.60,0.40,0.06
Curved17,1,12,,42890,0.00,1.00,1.00
Flynn2_F_18,0,2,8,43306,0.00,1.00,1.00
Flynn2_F_18,0,3,8,43313,0.25,0.75,0.42
Flynn2_F_18,0,4,8,43317,0.05,0.95,0.86
Flynn2_F_18,0,5,8,43327,0.00,1.00,1.00
Flynn2_F_18,0,6,8,43335,0.10,0.90,0.73
Flynn2_F_18,0,7,8,43339,0.00,1.00,1.00
Flynn2_F_18,0,8,8,43345,0.00,1.00,1.00
Hilary_F_18,0,5,7,43209,0.20,0.80,0.51
Hilary_F_18,0,6,7,43217,0.00,1.00,1.00
Hilary_F_18,0,7,7,43225,0.00,1.00,1.00
Motel_F_17,1,7,12,42881,0.00,1.00,1.00
Motel_F_17,1,8,12,42883,0.15,0.85,0.61
Motel_F_17,1,9,12,42893,0.05,0.95,0.86
Motel_F_17,1,10,12,42899,0.30,0.70,0.34
Motel_F_17,1,11,12,42904,0.07,0.93,0.81
Motel_F_17,1,12,12,42911,0.00,1.00,1.00
NE1_F_17,1,5,12,42863,0.35,0.65,0.27
NE1_F_17,1,7,12,42872,0.00,1.00,1.00
NE1_F_17,1,7,12,42877,0.08,0.92,0.79
NE1_F_17,1,8,12,42885,0.00,1.00,1.00
NE1_F_17,1,9,12,42891,0.50,0.50,0.13
NE1_F_17,1,10,12,42898,0.50,0.50,0.13
NE1_F_17,1,11,12,42905,0.30,0.70,0.34
NE1_F_17,1,12,12,42911,0.05,0.95,0.86
Pit_F_17,0,4,10,42910,0.00,1.00,1.00
Pit_F_17,0,6,10,42915,0.20,0.80,0.51
Pit_F_17,0,6,10,42922,0.00,1.00,1.00
Pit_F_17,0,7,10,42929,0.00,1.00,1.00
Pit_F_17,0,8,10,42935,0.00,1.00,1.00
Pit_F_17,0,9,10,42941,0.00,1.00,1.00
Pit_F_17,0,10,10,42945,0.10,0.90,0.73
Quentin_F_18,1,5,12,43255,0.00,1.00,1.00
Quentin_F_18,1,6,12,43264,0.00,1.00,1.00
Quentin_F_18,1,7,12,43270,0.00,1.00,1.00
Quentin_F_18,1,8,12,43277,0.00,1.00,1.00
Quentin_F_18,1,9,12,43282,0.00,1.00,1.00
Quentin_F_18,1,10,12,43291,0.00,1.00,1.00
Quentin_F_18,1,11,12,43299,0.00,1.00,1.00
Quentin_F_18,1,12,12,43306,0.10,0.90,0.73
Reluctant_F_18,1,7,12,43228,0.00,1.00,1.00
Reluctant_F_18,1,8,12,43234,0.00,1.00,1.00
Reluctant_F_18,1,8,12,43243,0.00,1.00,1.00
Reluctant_F_18,1,9,12,43250,0.10,0.90,0.73
Reluctant_F_18,1,10,12,43256,0.00,1.00,1.00
Reluctant_F_18,1,11,12,43266,0.45,0.55,0.17
Reluctant_F_18,1,12,12,43268,0.00,1.00,1.00
Ros_F_18,1,9,12,43261,0.00,1.00,1.00
Ros_F_18,1,9,12,43263,0.00,1.00,1.00
Ros_F_18,1,10,12,43270,0.00,1.00,1.00
Ros_F_18,1,11,12,43272,0.00,1.00,1.00
Ros_F_18,1,11,12,43274,0.00,1.00,1.00
Ros_F_18,1,12,12,43282,0.00,1.00,1.00
Skyscraper_F_17,0,3,12,42915,0.00,1.00,1.00
Skyscraper_F_17,0,4,12,42920,0.20,0.80,0.51
Spike_F_17,0,2,12,42916,0.00,1.00,1.00
Spike_F_17,0,4,12,42927,0.00,1.00,1.00
Starfish,1,6,,43214,0.05,0.95,0.86
Starfish,1,7,,43221,0.00,1.00,1.00
Starfish,1,8,,43226,0.30,0.70,0.34
Starfish,1,9,,43234,0.00,1.00,1.00
Starfish,1,10,,43239,0.27,0.73,0.38
Starfish,1,12,,43252,0.00,1.00,1.00
Starfish,1,12,,43254,0.00,1.00,1.00
Tallest17,1,9,,42961,0.15,0.85,0.61
Tallest17,1,10,,42969,0.17,0.83,0.58
Tallest17,1,11,,42976,0.05,0.95,0.86
,,,,,0.07,0.93,